State,Year,Quarter,Colonies at BQ,Max Colonies,Lost Colonies,Percent Lost,Added Colonies,Renovated Colonies,Percent Renovated,Varroa Mites,Others pests/parasites,Disease,Pesticides,Other,Unknown
California,2017,1,1170000,1470000,195000,0.13,137000,93000,0.06,0.377,0.126,0.075,0.092,0.066,0.063
California,2018,1,1150000,1540000,215000,0.14,205000,133000,0.09,0.413,0.113,0.048,0.115,0.08,0.049
California,2019,1,1140000,1580000,235000,0.15,83000,86000,0.05,0.435,0.134,0.064,0.123,0.087,0.056
California,2020,1,1350000,1710000,230000,0.13,240000,66000,0.04,0.224,0.06,0.05,0.053,0.053,0.042
California,2021,1,1180000,1600000,275000,0.17,189000,84000,0.05,0.299,0.057,0.017,0.072,0.062,0.034
California,2022,1,1060000,1520000,162000,0.11,139000,95000,0.06,0.297,0.072,0.033,0.053,0.039,0.042
California,2023,1,1020000,1330000,196000,0.15,88000,48000,0.04,0.487,0.182,0.113,0.141,0.23,0.167
California,2024,1,990000,1250000,210000,0.17,210000,135000,0.11,0.568,0.241,0.182,0.209,0.177,0.148
Colorado,2015,1,3500,12500,1500,0.12,200,140,0.01,0.146,0.009,0.018,0.006,0.026,0.059
Colorado,2016,1,5000,8500,750,0.09,1700,10,0.005,0.029,0.041,0.005,0.002,0.027,0.002
Colorado,2017,1,9500,21000,1100,0.05,100,0,0,0.17,0.005,0.005,0.009,0.026,0.004
Colorado,2018,1,13000,21000,4900,0.23,1400,190,0.01,0.317,0.008,0.038,0.005,0.137,0.024
Colorado,2019,1,5000,7500,320,0.04,0,0,0,0.112,0.003,0,0,0.025,0.006
Colorado,2020,1,4500,13000,670,0.05,4000,500,0.04,0.208,0,0.005,0.005,0.108,0.024
Colorado,2021,1,3000,16500,700,0.04,1000,30,0.005,0.079,0,0,0,0.01,0.07
Colorado,2022,1,3800,8500,540,0.06,0,10,0.005,0.135,0,0.038,0.006,0.034,0.026
Colorado,2023,1,10500,10500,520,0.05,520,0,0,0.018,0,0,0.005,0.009,0.014
Colorado,2024,1,5500,10500,370,0.04,200,0,0.005,0.054,0.043,0.005,0.005,0.018,0.01
Connecticut,2015,1,3900,3900,870,0.22,290,0,0,0.025,0.014,0.005,0.005,0.212,0.024
Connecticut,2016,1,2700,2700,270,0.1,70,10,0.005,0.123,0.008,0.002,0,0.077,0.017
Connecticut,2017,1,3100,3100,380,0.12,100,110,0.04,0.515,0.015,0,0,0.061,0.056
Connecticut,2018,1,2900,2900,140,0.05,220,330,0.11,0.145,0.007,0,0.008,0.077,0.035
Connecticut,2019,1,3100,3100,270,0.09,170,10,0.005,0.101,0.013,0,0,0.036,0.017
Connecticut,2020,1,3700,3800,330,0.09,360,0,0,0.112,0.029,0.005,0,0.028,0.03
Connecticut,2021,1,4200,4200,800,0.19,400,50,0.01,0.178,0.035,0,0.005,0.016,0.01
Connecticut,2022,1,3500,4500,420,0.09,10,170,0.04,0.102,0.023,0.014,0.005,0.035,0.012
Connecticut,2023,1,3600,4000,360,0.09,560,70,0.02,0.07,0.017,0.006,0.001,0.033,0.059
Connecticut,2024,1,3200,4000,100,0.03,120,0,0,0.078,0.009,0,0.005,0,0.006
Florida,2015,1,305000,315000,42000,0.13,54000,25000,0.08,0.223,0.135,0.008,0.089,0.051,0.044
Florida,2016,1,275000,295000,40000,0.14,49000,15500,0.05,0.236,0.058,0.004,0.049,0.018,0.014
Florida,2017,1,260000,265000,30000,0.11,78000,34000,0.13,0.376,0.148,0.015,0.142,0.062,0.179
Florida,2018,1,245000,255000,39000,0.15,57000,38000,0.15,0.317,0.153,0.045,0.092,0.055,0.16
Florida,2019,1,300000,315000,46000,0.15,41000,16500,0.05,0.469,0.248,0.055,0.229,0.074,0.055
Florida,2020,1,295000,305000,30000,0.1,41000,8000,0.03,0.28,0.142,0.055,0.053,0.087,0.109
Florida,2021,1,300000,305000,31000,0.1,47000,17000,0.06,0.346,0.119,0.056,0.066,0.063,0.034
Florida,2022,1,295000,295000,24000,0.08,50000,13500,0.05,0.39,0.131,0.037,0.098,0.064,0.082
Florida,2023,1,270000,305000,34000,0.11,51000,18500,0.06,0.281,0.111,0.035,0.056,0.042,0.085
Florida,2024,1,310000,310000,24000,0.08,28000,10500,0.03,0.282,0.105,0.025,0.098,0.042,0.033
Georgia,2015,1,104000,105000,14500,0.14,47000,9500,0.09,0.062,0.049,0.033,0.026,0.048,0.105
Georgia,2016,1,100000,100000,15500,0.16,36000,3200,0.03,0.323,0.078,0.021,0.214,0.032,0.039
Georgia,2017,1,123000,125000,14000,0.11,25000,21000,0.17,0.353,0.07,0.002,0.026,0.044,0.018
Georgia,2018,1,134000,139000,25000,0.18,29000,39000,0.28,0.396,0.187,0.009,0.148,0.271,0.021
Georgia,2019,1,120000,129000,14500,0.11,19500,8000,0.06,0.696,0.178,0.074,0.096,0.106,0.049
Georgia,2020,1,115000,119000,14500,0.12,41000,22000,0.18,0.509,0.034,0.005,0.005,0.005,0.075
Georgia,2021,1,120000,120000,20000,0.17,34000,14500,0.12,0.479,0.144,0.089,0.015,0.041,0.046
Georgia,2022,1,118000,119000,14000,0.12,26000,18000,0.15,0.412,0.174,0.006,0.051,0.059,0.03
Georgia,2023,1,121000,121000,13000,0.11,18500,8000,0.07,0.312,0.013,0.005,0.077,0.017,0.074
Georgia,2024,1,117000,125000,28000,0.22,34000,2000,0.02,0.185,0.089,0.005,0.011,0.036,0.057
Idaho,2015,1,81000,88000,3700,0.04,2600,8000,0.09,0.398,0.067,0.125,0.048,0.089,0.049
Idaho,2016,1,91000,98000,8500,0.09,5500,3300,0.03,0.315,0.023,0.021,0.059,0.054,0.014
Idaho,2017,1,95000,99000,8500,0.09,2000,280,0.005,0.742,0.423,0.423,0.212,0.017,0.004
Idaho,2018,1,164000,168000,22000,0.13,2500,2600,0.02,0.283,0.057,0.008,0.034,0.034,0.004
Idaho,2019,1,132000,145000,12500,0.09,4600,1100,0.01,0.245,0.08,0.08,0.092,0.086,0.005
Idaho,2020,1,156000,168000,18500,0.11,4400,920,0.01,0.104,0.008,0.005,0.028,0.021,0.019
Idaho,2021,1,167000,193000,14500,0.08,11000,9000,0.05,0.3,0.099,0,0.089,0.016,0.015
Idaho,2022,1,194000,215000,8000,0.04,7500,1000,0.005,0.57,0.011,0.005,0.355,0.014,0.013
Idaho,2023,1,165000,167000,12500,0.07,4000,8000,0.05,0.121,0.028,0.005,0.053,0.012,0.06
Idaho,2024,1,195000,195000,23000,0.12,4200,760,0.005,0.274,0.054,0.06,0,0.057,0.01
Illinois,2015,1,6000,10500,4200,0.4,2300,390,0.04,0.123,0.069,0.007,0.004,0.126,0.116
Illinois,2016,1,8500,9500,1400,0.15,860,40,0.005,0.124,0.064,0.003,0.026,0.046,0.086
Illinois,2017,1,11000,11000,2900,0.26,3100,150,0.01,0.212,0.131,0.005,0.037,0.099,0.08
Illinois,2018,1,10500,10500,2400,0.23,1000,630,0.06,0.257,0.112,0.036,0.035,0.104,0.109
Illinois,2019,1,9000,9000,2300,0.26,210,80,0.01,0.333,0.147,0.031,0.007,0.155,0.101
Illinois,2020,1,11500,11500,2400,0.21,2900,160,0.01,0.172,0.089,0.005,0,0.073,0.1
Illinois,2021,1,11500,13000,3000,0.23,2500,200,0.02,0.288,0.129,0.016,0.013,0.179,0.094
Illinois,2022,1,11500,11500,2200,0.19,900,140,0.01,0.201,0.069,0.02,0.043,0.054,0.106
Illinois,2023,1,9000,9500,1800,0.19,1800,320,0.03,0.215,0.09,0.006,0.009,0.105,0.1
Illinois,2024,1,10000,10000,2300,0.23,800,300,0.03,0.346,0.139,0.024,0.046,0.025,0.115
Indiana,2015,1,9000,9500,2100,0.22,490,120,0.01,0.207,0.003,0.002,0.003,0.223,0.117
Indiana,2016,1,6500,6500,770,0.12,30,0,0,0.174,0.037,0.009,0.003,0.072,0.055
Indiana,2017,1,7000,7500,1900,0.25,1700,70,0.01,0.158,0.08,0.052,0.041,0.104,0.071
Indiana,2018,1,7000,8000,1000,0.13,300,30,0.005,0.334,0.083,0.03,0.005,0.099,0.037
Indiana,2019,1,6000,6000,710,0.12,440,280,0.05,0.156,0.088,0.026,0.055,0.071,0.017
Indiana,2020,1,11000,11000,1600,0.15,1500,420,0.04,0.082,0.005,0.005,0.029,0.019,0.062
Indiana,2021,1,10000,11000,2600,0.24,2400,20,0.005,0.341,0.054,0,0.007,0.048,0.044
Indiana,2022,1,9500,9500,2900,0.31,1300,30,0.005,0.285,0.115,0.017,0.036,0.097,0.059
Indiana,2023,1,7000,10000,1300,0.13,300,40,0.005,0.248,0.045,0.005,0,0.06,0.023
Indiana,2024,1,8000,9500,410,0.04,510,0,0.005,0.437,0.032,0,0,0.033,0.005
Iowa,2015,1,12500,17500,3100,0.18,1700,270,0.02,0.26,0.007,0.046,0.034,0.18,0.034
Iowa,2016,1,13000,13000,2900,0.22,90,0,0,0.528,0.144,0.138,0.027,0.24,0.048
Iowa,2017,1,10000,15500,3000,0.19,70,0,0,0.336,0.083,0.084,0.12,0.119,0.117
Iowa,2018,1,41000,44000,2100,0.05,270,110,0.005,0.053,0.011,0.003,0.006,0.006,0.014
Iowa,2019,1,7500,11500,1600,0.14,170,140,0.01,0.348,0.017,0.006,0.003,0.077,0.035
Iowa,2020,1,9000,17000,1600,0.09,6000,420,0.02,0.223,0.019,0,0.005,0.057,0.055
Iowa,2021,1,15000,26000,2100,0.08,1100,30,0.005,0.189,0.007,0.005,0.037,0.078,0.038
Iowa,2022,1,26000,29000,2800,0.1,610,30,0.005,0.297,0.13,0.007,0.009,0.016,0.051
Iowa,2023,1,50000,64000,1700,0.03,210,240,0.005,0.269,0.01,0.013,0.022,0.014,0.032
Iowa,2024,1,56000,59000,1900,0.03,2700,0,0.005,0.15,0.007,0.007,0.005,0.032,0.017
Kansas,2015,1,4600,7000,1600,0.23,450,70,0.01,0.327,0.013,0.011,0.142,0.095,0.034
Kansas,2016,1,5000,5000,1100,0.22,1400,100,0.02,0.303,0.1,0.001,0.011,0.024,0.054
Kansas,2017,1,3800,3800,1000,0.26,930,380,0.1,0.472,0.03,0,0.036,0.164,0.143
Kansas,2018,1,3700,3700,950,0.26,370,410,0.11,0.63,0.203,0.01,0.043,0.279,0.091
Kansas,2019,1,4500,4500,1500,0.33,370,110,0.02,0.869,0.078,0.025,0.122,0.216,0.04
Kansas,2020,1,4500,6500,760,0.12,2000,130,0.02,0.133,0.081,0.078,0.078,0.031,0.113
Kansas,2021,1,5000,8000,1400,0.18,1000,10,0.005,0.257,0.028,0,0,0.191,0.022
Kansas,2022,1,4000,5000,520,0.1,240,60,0.01,0.378,0.218,0.037,0.017,0.042,0.051
Kansas,2023,1,3300,3900,490,0.13,940,20,0.01,0.209,0.027,0.008,0.054,0.089,0.027
Kansas,2024,1,2400,4000,270,0.07,170,10,0.005,0.235,0.02,0.007,0.01,0.155,0.027
Kentucky,2015,1,7500,10500,4100,0.39,250,0,0,0.108,0.107,0.025,0.025,0.227,0.129
Kentucky,2016,1,6500,6500,1300,0.2,390,40,0.01,0.236,0.09,0.007,0.063,0.125,0.084
Kentucky,2017,1,6500,7000,1300,0.19,950,430,0.06,0.319,0.115,0.004,0.038,0.16,0.075
Kentucky,2018,1,5500,5500,1200,0.22,760,20,0.005,0.43,0.296,0.009,0.11,0.08,0.059
Kentucky,2019,1,3700,4400,890,0.2,60,30,0.01,0.216,0.129,0.001,0.053,0.107,0.046
Kentucky,2020,1,7000,11000,1200,0.11,1400,120,0.01,0.174,0.026,0.02,0.005,0.076,0.065
Kentucky,2021,1,11000,11000,2100,0.19,1000,80,0.01,0.275,0.169,0.005,0,0.051,0.093
Kentucky,2022,1,8500,9500,1300,0.14,50,160,0.02,0.156,0.039,0.03,0.028,0.056,0.11
Kentucky,2023,1,9500,10500,1100,0.1,260,80,0.01,0.109,0.059,0.005,0.017,0.032,0.094
Kentucky,2024,1,6500,6500,660,0.1,1100,10,0.005,0.09,0.073,0.046,0.028,0.019,0.055
Louisiana,2015,1,51000,51000,8000,0.16,3100,6500,0.13,0.172,0.047,0.043,0.017,0.031,0.021
Louisiana,2016,1,54000,55000,11000,0.2,9500,2600,0.05,0.228,0.142,0.186,0.004,0.124,0.019
Louisiana,2017,1,44000,47000,2700,0.06,11000,1900,0.04,0.258,0.096,0.001,0.018,0.043,0.018
Louisiana,2018,1,50000,52000,3600,0.07,4100,320,0.01,0.049,0.007,0.002,0.007,0.045,0.016
Louisiana,2019,1,49000,51000,3500,0.07,9000,16000,0.31,0.578,0.013,0.001,0.003,0.01,0.007
Louisiana,2020,1,44000,48000,4800,0.1,9000,20000,0.42,0.265,0.07,0.007,0.012,0.014,0.006
Louisiana,2021,1,51000,53000,7000,0.13,3600,3000,0.06,0.621,0.038,0,0.016,0.1,0.011
Louisiana,2022,1,35000,37000,6000,0.16,11000,2200,0.06,0.611,0.481,0,0,0.006,0.076
Louisiana,2023,1,29000,38000,4800,0.13,6000,3700,0.1,0.482,0.1,0.024,0.02,0.029,0.06
Louisiana,2024,1,44000,44000,8500,0.19,5500,2300,0.05,0.11,0.028,0.031,0.035,0.055,0.047
Maine,2015,1,3100,6500,380,0.06,20,0,0,0.044,0.001,0.005,0.005,0.075,0.019
Maine,2016,1,2200,3700,170,0.05,0,0,0,0.033,0.004,0.003,0,0.008,0.014
Maine,2017,1,2700,3100,1000,0.32,100,0,0,0.239,0.209,0.305,0.081,0.263,0
Maine,2018,1,1900,1900,410,0.22,20,30,0.02,0.236,0.006,0.002,0,0.052,0.074
Maine,2019,1,7000,7000,470,0.07,10,30,0.005,0.023,0.001,0,0,0.014,0.008
Maine,2020,1,1300,1300,160,0.12,460,0,0,0.196,0.012,0.007,0,0.022,0.03
Maine,2021,1,2900,2900,300,0.1,60,80,0.03,0.072,0.026,0.005,0,0.022,0.021
Maine,2022,1,3100,8000,340,0.04,0,120,0.02,0.073,0.012,0,0,0.07,0.012
Maine,2023,1,2600,7500,290,0.04,190,130,0.02,0.168,0,0,0.015,0.008,0.025
Maine,2024,1,1400,1400,300,0.21,400,140,0.1,0.211,0.009,0,0,0.001,0
Maryland,2015,1,7500,10000,4100,0.41,1600,870,0.09,0.101,0.018,0.004,0.005,0.242,0.124
Maryland,2016,1,7500,7500,820,0.11,1200,10,0.005,0.262,0.001,0,0.095,0.067,0.007
Maryland,2017,1,9000,9000,2100,0.23,770,260,0.03,0.113,0.033,0.01,0.01,0.119,0.043
Maryland,2018,1,8000,8000,1600,0.2,400,190,0.02,0.182,0.056,0.044,0.015,0.143,0.031
Maryland,2019,1,8000,8000,2300,0.29,30,10,0.005,0.126,0.051,0.002,0.005,0.101,0.024
Maryland,2020,1,7000,7000,1900,0.27,1900,30,0.005,0.199,0.015,0.005,0,0.085,0.024
Maryland,2021,1,7000,7000,1800,0.26,1300,240,0.03,0.346,0.011,0,0.005,0.197,0.027
Maryland,2022,1,6500,8500,1900,0.22,1100,1000,0.12,0.237,0.074,0.006,0.023,0.121,0.136
Maryland,2023,1,6000,6000,1100,0.18,670,140,0.02,0.164,0.047,0.025,0,0.073,0.039
Maryland,2024,1,5000,5000,660,0.13,1700,920,0.18,0.247,0.124,0.005,0,0.071,0
Massachusetts,2015,1,2900,4600,1000,0.22,260,120,0.03,0.235,0.035,0.021,0.028,0.076,0.047
Massachusetts,2016,1,3000,3000,370,0.12,1200,140,0.05,0.101,0.052,0.007,0,0.031,0.011
Massachusetts,2017,1,3300,3300,1500,0.45,120,110,0.03,0.325,0.056,0.03,0.045,0.105,0.056
Massachusetts,2018,1,3700,3700,1000,0.27,240,290,0.08,0.196,0.011,0.008,0.008,0.096,0.074
Massachusetts,2019,1,3800,3800,680,0.18,60,20,0.01,0.103,0,0,0.043,0.063,0.009
Massachusetts,2020,1,3800,3800,470,0.12,1100,100,0.03,0.139,0.005,0.018,0.005,0.045,0.022
Massachusetts,2021,1,5000,5000,980,0.2,30,90,0.02,0.289,0.036,0.01,0.005,0.078,0.045
Massachusetts,2022,1,6000,6000,950,0.16,350,510,0.09,0.134,0.029,0.007,0,0.016,0.027
Massachusetts,2023,1,6000,8000,820,0.1,200,80,0.01,0.096,0.027,0.015,0,0.052,0.018
Massachusetts,2024,1,4800,4800,650,0.14,750,640,0.13,0.037,0.008,0.005,0,0.006,0.026
Michigan,2015,1,16500,60000,11500,0.19,7500,2400,0.04,0.143,0.031,0.011,0.016,0.083,0.046
Michigan,2016,1,25000,42000,5000,0.12,2300,80,0.005,0.059,0.002,0.005,0.005,0.013,0.113
Michigan,2017,1,29000,59000,5000,0.08,600,130,0.005,0.079,0.003,0,0.019,0.011,0.039
Michigan,2018,1,16500,37000,7000,0.19,4000,3900,0.11,0.214,0.035,0.007,0.074,0.12,0.059
Michigan,2019,1,24000,33000,6500,0.2,0,0,0,0.182,0.058,0.015,0.002,0.122,0.007
Michigan,2020,1,60000,60000,7000,0.12,10000,100,0.005,0.081,0.005,0.005,0.005,0.005,0.007
Michigan,2021,1,78000,78000,1500,0.02,320,4100,0.05,0.023,0.005,0.005,0.005,0.007,0.016
Michigan,2022,1,66000,71000,4500,0.06,1400,2500,0.04,0.061,0.019,0.019,0.014,0.042,0.005
Michigan,2023,1,59000,64000,9000,0.14,330,2100,0.03,0.065,0.006,0.005,0.012,0.011,0.017
Michigan,2024,1,67000,90000,3000,0.03,10,0,0,0.043,0.006,0.005,0.011,0.01,0.014
Minnesota,2015,1,28000,74000,3700,0.05,690,530,0.01,0.014,0.001,0.005,0.001,0.016,0.021
Minnesota,2016,1,36000,38000,5500,0.14,6000,0,0,0.121,0.07,0.002,0.116,0.08,0.145
Minnesota,2017,1,27000,41000,3500,0.09,3300,0,0,0.021,0.004,0.001,0.009,0.09,0.058
Minnesota,2018,1,39000,62000,3900,0.06,8000,2900,0.05,0.02,0.007,0.019,0.006,0.011,0.016
Minnesota,2019,1,17000,43000,2200,0.05,80,470,0.01,0.013,0.002,0.019,0,0.02,0.008
Minnesota,2020,1,21000,58000,920,0.02,1300,40,0.005,0.035,0,0,0.005,0.043,0.005
Minnesota,2021,1,61000,73000,3200,0.04,1300,140,0.005,0.063,0.006,0,0.025,0.028,0.005
Minnesota,2022,1,78000,97000,1500,0.02,4800,80,0.005,0.011,0,0,0.005,0.005,0.01
Minnesota,2023,1,41000,57000,1100,0.02,30,1600,0.03,0.092,0.005,0.008,0.005,0.013,0.014
Minnesota,2024,1,25000,85000,830,0.01,900,210,0.005,0.119,0.005,0.011,0,0.02,0.005
Mississippi,2015,1,34000,76000,8500,0.11,22000,7500,0.1,0.094,0.082,0.001,0.021,0.012,0.011
Mississippi,2016,1,21000,50000,7500,0.15,48000,25000,0.5,0.138,0.016,0.005,0.032,0.003,0.145
Mississippi,2017,1,31000,68000,2600,0.04,23000,7000,0.1,0.417,0.353,0.005,0.001,0.005,0.014
Mississippi,2018,1,19000,32000,2000,0.06,28000,5500,0.17,0.07,0.048,0.005,0.006,0.024,0.344
Mississippi,2019,1,26000,29000,2400,0.08,3800,1700,0.06,0.146,0.71,0.648,0.484,0.019,0.055
Mississippi,2020,1,26000,28000,5000,0.18,16000,660,0.02,0.586,0.509,0.005,0.018,0.145,0.036
Mississippi,2021,1,31000,36000,5500,0.15,14000,70,0.005,0.197,0.038,0,0.01,0.155,0.047
Mississippi,2022,1,20000,37000,3400,0.09,12000,2300,0.06,0.531,0.125,0.061,0.02,0.018,0.089
Mississippi,2023,1,29000,37000,2300,0.06,65000,4100,0.11,0.196,0.096,0.011,0.075,0.154,0.027
Mississippi,2024,1,28000,42000,3700,0.09,10500,1500,0.04,0.25,0.075,0.039,0.041,0.031,0.078
Missouri,2015,1,12000,13000,2000,0.15,220,910,0.07,0.131,0.06,0.022,0.042,0.118,0.063
Missouri,2016,1,10000,10000,1300,0.13,5500,420,0.04,0.202,0.07,0.004,0.062,0.045,0.073
Missouri,2017,1,7000,7500,1200,0.16,400,10,0.005,0.166,0.154,0.005,0.027,0.054,0.052
Missouri,2018,1,8000,8000,1400,0.18,1400,50,0.005,0.86,0.778,0.003,0.035,0.265,0.239
Missouri,2019,1,8500,8500,1100,0.13,80,60,0.01,0.054,0.023,0.019,0.005,0.054,0.032
Missouri,2020,1,8500,8500,5500,0.65,3400,0,0,0.084,0.034,0.009,0.016,0.021,0.034
Missouri,2021,1,5500,5500,900,0.16,110,40,0.01,0.166,0.056,0.005,0.008,0.131,0.053
Missouri,2022,1,4800,11000,730,0.07,310,570,0.05,0.111,0.086,0.005,0.005,0.053,0.052
Missouri,2023,1,6500,9000,940,0.1,1400,100,0.01,0.127,0.043,0,0,0.036,0.095
Missouri,2024,1,9500,11000,1100,0.1,600,40,0.005,0.15,0.021,0.006,0.005,0.075,0.035
Montana,2015,1,8500,36000,2200,0.06,1400,1100,0.03,0.087,0.005,0.006,0.008,0.023,0.079
Montana,2016,1,16500,65000,900,0.01,24000,0,0,0.006,0.005,0,0.005,0.001,0
Montana,2017,1,18500,46000,470,0.01,3100,6000,0.13,0.34,0.151,0,0.025,0.06,0.001
Montana,2018,1,35000,60000,140,0.005,840,0,0,0.289,0.005,0.005,0.261,0.001,0.001
Montana,2019,1,37000,68000,3500,0.05,1700,1900,0.03,0.151,0.005,0,0.008,0.008,0.011
Montana,2020,1,18000,47000,150,0.005,500,0,0,0.04,0,0,0,0.005,0.005
Montana,2021,1,40000,51000,330,0.01,820,20,0.005,0.15,0,0,0,0.005,0.005
Montana,2022,1,45000,54000,300,0.01,30,0,0,0.005,0,0,0,0.005,0.005
Montana,2023,1,23000,51000,70,0.005,0,0,0,0.006,0,0,0.005,0,0.005
Montana,2024,1,36000,41000,50,0.005,60,0,0.005,0.005,0,0,0,0,0
Nebraska,2015,1,10000,31000,2600,0.08,120,310,0.01,0.059,0.001,0.001,0.005,0.003,0.03
Nebraska,2016,1,11000,20000,720,0.04,510,0,0,0.018,0.004,0.001,0.002,0.008,0.006
Nebraska,2017,1,7500,13000,750,0.06,120,0,0,0.148,0.003,0.004,0,0.021,0.012
Nebraska,2018,1,6500,14000,430,0.03,0,0,0,0.045,0.016,0,0.028,0.017,0.009
Nebraska,2019,1,13500,16500,2500,0.15,0,0,0,0.323,0.013,0.32,0.008,0.022,0.001
Nebraska,2020,1,9000,17000,670,0.04,70,0,0,0.022,0.005,0.005,0,0.005,0.008
Nebraska,2021,1,11000,18000,640,0.04,930,0,0,0.11,0.005,0.005,0.015,0.017,0.007
Nebraska,2022,1,24000,30000,840,0.03,30,0,0,0.032,0,0.007,0,0.005,0.023
Nebraska,2023,1,17000,23000,1100,0.05,0,0,0,0.202,0.005,0.005,0,0.043,0.005
Nebraska,2024,1,17500,19500,1200,0.06,0,0,0,0.148,0,0,0,0.005,0.008
New Jersey,2015,1,6000,9000,1100,0.12,570,1600,0.18,0.401,0.132,0.304,0.111,0.195,0.167
New Jersey,2016,1,6000,6000,1000,0.17,80,20,0,0.08,0.011,0.002,0.006,0.017,0.12
New Jersey,2017,1,6000,6000,490,0.08,10,0,0,0.163,0.007,0.003,0.001,0.008,0.006
New Jersey,2018,1,6500,6500,730,0.11,180,190,0.03,0.149,0.019,0,0.004,0.038,0.008
New Jersey,2019,1,6000,6000,310,0.05,130,60,0.01,0.153,0.044,0,0,0.035,0.006
New Jersey,2020,1,6500,6500,430,0.07,800,40,0.01,0.094,0.029,0.005,0.005,0.032,0.023
New Jersey,2021,1,14000,14000,350,0.03,900,80,0.01,0.187,0.015,0.01,0.013,0.012,0.008
New Jersey,2022,1,11500,15000,550,0.04,1500,30,0.005,0.133,0.039,0.005,0,0.006,0.018
New Jersey,2023,1,12500,14500,1300,0.09,530,110,0.01,0.2,0.067,0.005,0,0.017,0.038
New Jersey,2024,1,12500,14500,1200,0.08,990,320,0.02,0.207,0.032,0,0,0.017,0.041
New Mexico,2015,1,7000,7000,690,0.1,190,600,0.09,0.171,0.001,0.005,0.002,0.013,0.004
New Mexico,2016,1,6000,6500,1700,0.26,1400,30,0.01,0.69,0.004,0.315,0,0.015,0.003
New Mexico,2017,1,5500,5500,2100,0.38,3600,0,0,0.939,0,0.874,0,0.02,0
